SITE_ID,YEAR,VISIT_NO,SITENAME,SITETYPE,REPEAT,LON_DD,LAT_DD,XLON_DD,XLAT_DD,XCOORD_SOURCE,STRAHLER,ST_ORDER,DATE_COL,USED,SITESAMP,FLOWSITE,XSTATUS,VALXSTAT,EVALSTATUS,TNT,STRATUM,WGT_WSA,INDXVIS_EXTENT,SAMPCHEM,INDXVIS_CHEM,INDEXYR_CHEM,INDEXVIS_CHEM,SAMPBENT,INDEX_SAMPTYPE,INDEXYR_BENT,INDEXVIS_BENT,INDXVIS_BENT,SAMPPHAB,INDXVIS_PHAB,INDEXYR_PHAB,INDEXVIS_PHAB,STATE,STATE_NM,COUNTY,EPAREGION,WESTEAST,RT_WSA,XELEV,WSAREA,ECO3,ECO3_NM,ECOWSA9,ECOWSA3,NAECO3,NAECO2,NAECO2_NM,NAECO1,ECOREPORT,HUC2,HUC4,HUC6,HUC8,HUC8_NM,SITE_ID:1,YEAR:1,VISIT_NO:1,LANDAREA,PFOR,PWETL,PURB,PAGT,RDDENS,POPDENS,ELEV,"PRECIP_M"""
WCOP99-0646,2003,1,MUD CREEK,WESTPROB, ,-108.36615,37.29615,-108.366389,37.296111,GPS,3,3rd,6/10/03,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,CO,300.1793196,YES,YES,YES,2003,1,YES,REACHWIDE,2003,1,YES,YES,YES,2003,1,CO,COLORADO,MONTEZUMA,REGION__8,WEST,T,2000,98.7306,22,ARIZONA/NEW MEXICO PLATEAU,XER,WMTNS,10.1.7,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1408,140801,14080107,MANCOS,WCOP99-0646,2003,1,98.73,50.7,0,0,12.79,0.94,3.25,2000,0.441
WCOP99-0649,2002,1,NO NAME CREEK,WESTPROB, ,-107.28809,39.58166,-107.293333,39.578889,GPS,2,2nd,7/23/02,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,CO,600.358639,YES,YES,YES,2002,1,YES,REACHWIDE,2002,1,YES,YES,YES,2002,1,CO,COLORADO,GARFIELD,REGION__8,WEST,R,1986,133.5035,21,SOUTHERN ROCKIES,WMT,WMTNS,6.2.14,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1401,140100,14010001,COLORADO HEADWATERS,WCOP99-0649,2002,1,133.5,46.08,0,0,0.25,0.51,0.16,1986,0.931
WCOP99-0670,2003,1,LOST CANYON CREEK,WESTPROB, ,-108.23322,37.52305,-108.233611,37.523056,GPS,2,2nd,6/11/03,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,CO,600.358639,YES,YES,YES,2003,1,YES,REACHWIDE,2003,1,YES,YES,YES,2003,1,CO,COLORADO,MONTEZUMA,REGION__8,WEST,S,2666,33.5014,21,SOUTHERN ROCKIES,WMT,WMTNS,6.2.14,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1403,140300,14030002,UPPER DOLORES,WCOP99-0670,2003,1,33.5,89.73,0,0,0.01,1.21,0,2666,0.753
WNVP99-0522,2000,1,CLOVER CREEK,WESTPROB, ,-114.35664,37.54693,-114.3575,37.547222,GPS,5,5th +,6/21/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,NV,325.1408842,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,NV,NEVADA,LINCOLN,REGION__9,WEST,S,1514,632.5071,13,CENTRAL BASIN AND RANGE,XER,WMTNS,10.1.4,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,15,1501,150100,15010013,MEADOW VALLEY WASH,WNVP99-0522,2000,1,632.5,46.92,0,0,0.51,0.48,0.01,1514,0.406
WNVP99-0570,2001,1,WILSON CREEK,WESTPROB,Y,-114.27664,38.32755,-114.277778,38.327222,GPS,1,0-1st,6/5/01,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,NV,250.1083726,YES,YES,YES,2001,1,YES,REACHWIDE,2001,1,YES,YES,YES,2001,1,NV,NEVADA,LINCOLN,REGION__9,WEST,S,2221,1.8255,13,CENTRAL BASIN AND RANGE,XER,WMTNS,10.1.4,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,15,1501,150100,15010013,MEADOW VALLEY WASH,WNVP99-0570,2001,1,1.82,95.15,0,0,0,0,0,2221,0.465
WNVP99-0570,2002,1,WILSON CREEK,WESTPROB,Y,-114.27664,38.32755,-114.276667,38.3275,GPS,1,0-1st,6/2/02,N,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,NV, ,NO,YES,NO,2001,1,YES,REACHWIDE,2001,1,NO,YES,NO,2001,1,NV,NEVADA,LINCOLN,REGION__9,WEST,S,2221,1.8255,13,CENTRAL BASIN AND RANGE,XER,WMTNS,10.1.4,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,15,1501,150100,15010013,MEADOW VALLEY WASH,WNVP99-0570,2001,1,1.82,95.15,0,0,0,0,0,2221,0.465
WNVP99-0635,2002,1,SUNNYSIDE CREEK,WESTPROB, ,-115.05401,38.43386,-115.053611,38.434167,GPS,2,2nd,6/3/02,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,NV,180.6338246,YES,YES,YES,2002,1,YES,REACHWIDE,2002,1,YES,YES,YES,2002,1,NV,NEVADA,NYE,REGION__9,WEST,T,1585,14.1054,13,CENTRAL BASIN AND RANGE,XER,WMTNS,10.1.4,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,15,1501,150100,15010011,WHITE,WNVP99-0635,2002,1,14.1,4.56,0.02,0.11,16.76,0.96,0.07,1585,0.248
WUTP99-0501,2000,1,BURNT FORK,WESTPROB, ,-110.08761,40.8721,-110.087778,40.872222,GPS,2,2nd,8/12/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,213.4845722,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,UT,UTAH,SUMMIT,REGION__8,WEST,R,2972,48.05,19,WASATCH AND UINTA MOUNTAINS,WMT,WMTNS,6.2.13,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1404,140401,14040106,UPPER GREEN-FLAMING GORGE RESERVOIR,WUTP99-0501,2000,1,48.05,51.35,0.2,0,0.03,0,0,2972,0.811
WUTP99-0507,2000,1,UINTA RIVER,WESTPROB, ,-110.03366,40.51776,-110.034167,40.5175,GPS,2,2nd,8/14/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,142.3230481,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,UT,UTAH,DUCHESNE,REGION__8,WEST,R,2041,522.3885,20,COLORADO PLATEAUS,XER,WMTNS,10.1.6,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1406,140600,14060003,DUCHESNE,WUTP99-0507,2000,1,522.38,54.33,0.29,0.02,0.05,0.2,0.01,2041,0.751
WUTP99-0514,2000,1,EAST FORK SMITHS FORK,WESTPROB, ,-110.4224,40.89499,-110.422778,40.895,GPS,3,3rd,8/13/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,170.7876578,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,UT,UTAH,SUMMIT,REGION__8,WEST,R,2981,65.1821,19,WASATCH AND UINTA MOUNTAINS,WMT,WMTNS,6.2.13,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1404,140401,14040107,BLACKS FORK,WUTP99-0514,2000,1,65.18,47.29,0.18,0,0.15,0,0,2981,0.938
WUTP99-0517,2000,1,HILL CREEK,WESTPROB, ,-109.80229,39.34229,-109.803056,39.342222,GPS,3,3rd,8/15/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,106.7422861,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,UT,UTAH,GRAND,REGION__8,WEST,S,2288,72.7078,20,COLORADO PLATEAUS,XER,WMTNS,10.1.6,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1406,140600,14060006,WILLOW,WUTP99-0517,2000,1,72.7,87.31,0,0,0,0.75,0,2288,0.495
WUTP99-0559,2003,1,ESCALANTE RIVER,WESTPROB, ,-111.05662,37.52822,-111.056667,37.528333,GPS,5,5th +,10/3/03,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,256.1814867,YES,YES,YES,2003,1,YES,REACHWIDE,2003,1,YES,YES,YES,2003,1,UT,UTAH,KANE,REGION__8,WEST,S,1335,4228.7457,20,COLORADO PLATEAUS,XER,WMTNS,10.1.6,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1407,140700,14070005,ESCALANTE,WUTP99-0559,2003,1,4228.74,21.51,0.01,0.05,0.54,0.32,0.25,1335,0.312
WUTP99-0562,2003,1,DUCHESNE RIVER,WESTPROB, ,-110.88796,40.63387,-110.888056,40.633889,GPS,3,3rd,10/19/03,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,170.7876578,YES,YES,YES,2003,1,YES,REACHWIDE,2003,1,YES,YES,YES,2003,1,UT,UTAH,DUCHESNE,REGION__8,WEST,S,2512,94.4746,19,WASATCH AND UINTA MOUNTAINS,WMT,WMTNS,6.2.13,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1406,140600,14060003,DUCHESNE,WUTP99-0562,2003,1,94.47,67.06,0.08,0,0.07,0.25,0,2512,0.957
WUTP99-0602,2001,1,NORTH FORK ASHLEY CREEK,WESTPROB, ,-109.72218,40.7647,-109.7225,40.764722,GPS,2,2nd,7/17/01,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,213.4845722,YES,YES,YES,2001,1,YES,REACHWIDE,2001,1,YES,YES,YES,2001,1,UT,UTAH,UINTAH,REGION__8,WEST,S,2914,34.3083,19,WASATCH AND UINTA MOUNTAINS,WMT,WMTNS,6.2.13,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1406,140600,14060002,ASHLEY-BRUSH,WUTP99-0602,2001,1,34.3,73.7,0.07,0,0.06,1.14,0.26,2914,0.717
WUTP99-0605,2001,1,BIG BEAR CREEK,WESTPROB, ,-111.35238,39.24344,-111.353056,39.243611,GPS,2,2nd,9/18/01,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,213.4845722,YES,YES,YES,2001,1,YES,REACHWIDE,2001,1,YES,YES,YES,2001,1,UT,UTAH,SANPETE,REGION__8,WEST,T,2678,24.813,19,WASATCH AND UINTA MOUNTAINS,WMT,WMTNS,6.2.13,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1406,140600,14060009,SAN RAFAEL,WUTP99-0605,2001,1,24.81,33.4,0.13,0,0.42,0.48,0,2678,0.718
WUTP99-0629,2001,1,MILL CREEK,WESTPROB, ,-109.52144,38.56127,-109.521667,38.561389,GPS,4,4th,8/1/01,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,256.1814867,YES,YES,YES,2001,1,YES,REACHWIDE,2001,1,YES,YES,YES,2001,1,UT,UTAH,GRAND,REGION__8,WEST,R,1275,192.4979,20,COLORADO PLATEAUS,XER,WMTNS,10.1.6,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1403,140300,14030005,UPPER COLORADO-KANE SPRINGS,WUTP99-0629,2001,1,192.49,47.54,0,0.04,0.34,0.58,1.22,1275,0.444
WUTP99-0665,2002,1,FREMONT RIVER,WESTPROB, ,-111.57751,38.53772,-111.578889,38.537778,GPS,3,3rd,9/30/02,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,170.7876578,YES,YES,YES,2002,1,YES,REACHWIDE,2002,1,YES,YES,YES,2002,1,UT,UTAH,SEVIER,REGION__8,WEST,T,2376,200.0497,19,WASATCH AND UINTA MOUNTAINS,WMT,WMTNS,6.2.13,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1407,140700,14070003,FREMONT,WUTP99-0665,2002,1,200.04,60.84,0.05,0.01,0.2,0.57,0.005,2376,0.8
WUTP99-0670,2002,1,SAN RAFAEL RIVER,WESTPROB, ,-110.88838,39.14033,-110.88838,39.14033,MAP,5,5th +,9/29/02,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,256.1814867,YES,YES,YES,2002,1,YES,TARGETED RIFFLE,2002,1,YES,YES,YES,2002,1,UT,UTAH,EMERY,REGION__8,WEST,T,1621,2413.2357,20,COLORADO PLATEAUS,XER,WMTNS,10.1.6,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1406,140600,14060009,SAN RAFAEL,WUTP99-0670,2002,1,2413.23,29.9,0.04,0.34,3.11,0.69,3.13,1621,0.455
WUTP99-0692,2004,1,ROCK CREEK UPSTREAM LOCATION,WESTPROB, ,-110.55998,40.4675,-110.560856,40.467717,GPS,4,4th, ,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,284.6460963,YES,YES,YES,2004,1,NA, ,2004,1,YES,YES,YES,2004,1,UT,UTAH,DUCHESNE,REGION__8,WEST,S,2175,451.8654,20,COLORADO PLATEAUS,XER,WMTNS,6.2.13,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1406,140600,14060003,DUCHESNE,WUTP99-0692,2004,1,451.86,65.52,0.09,0,0.04,0.19,0.03,2175,0.758
WUTP99-0698,2002,1,SANTA CLARA RIVER,WESTPROB, ,-113.71607,37.31867,-113.714444,37.318333,GPS,4,4th,10/8/02,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,256.1814867,YES,YES,YES,2002,1,YES,REACHWIDE,2002,1,YES,YES,YES,2002,1,UT,UTAH,WASHINGTON,REGION__8,WEST,S,1233,356.9002,13,CENTRAL BASIN AND RANGE,XER,WMTNS,10.1.6,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,15,1501,150100,15010008,UPPER VIRGIN,WUTP99-0698,2002,1,356.9,66.86,0.01,0.37,2.31,0.72,1.18,1233,0.548
WUTP99-0728,2003,1,DEEP CREEK,WESTPROB, ,-112.91733,37.43248,-112.917222,37.4325,GPS,4,4th,10/2/03,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,284.6460963,YES,YES,YES,2003,1,YES,REACHWIDE,2003,1,YES,YES,YES,2003,1,UT,UTAH,WASHINGTON,REGION__8,WEST,S,1839,200.2222,20,COLORADO PLATEAUS,XER,WMTNS,10.1.6,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,15,1501,150100,15010008,UPPER VIRGIN,WUTP99-0728,2003,1,200.22,74.87,0.05,0,0.01,0.74,0,1839,0.656
WUTP99-0734,2004,1,UINTA RIVER,WESTPROB, ,-109.82815,40.24229,-109.82904,40.242117,GPS,6,5th +, ,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,UT,256.1814867,YES,YES,YES,2004,1,NA, ,2004,1,YES,YES,YES,2004,1,UT,UTAH,UINTAH,REGION__8,WEST,T,1469,9803.0057,20,COLORADO PLATEAUS,XER,WMTNS,10.1.6,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1406,140600,14060003,DUCHESNE,WUTP99-0734,2004,1,9803,40.08,0.06,0.2,4.34,0.76,1.7,1469,0.476
WWYP99-0516,2000,1,LITTLE MUDDY CREEK,WESTPROB,Y,-110.74587,41.65273,-110.745556,41.652778,GPS,3,3rd,9/8/00,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,WY,293.5763188,YES,YES,YES,2000,1,YES,REACHWIDE,2000,1,YES,YES,YES,2000,1,WY,WYOMING,LINCOLN,REGION__8,WEST,T,2104,85.2193,18,WYOMING BASIN,XER,WMTNS,10.1.4,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1404,140401,14040108,MUDDY,WWYP99-0516,2000,1,85.21,17.25,0.22,0,0,0.84,0,2104,0.366
WWYP99-0516,2001,2,LITTLE MUDDY CREEK,WESTPROB,Y,-110.74587,41.65273,-110.746111,41.652778,GPS,3,3rd,9/11/01,N,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,WY, ,NO,YES,NO,2000,1,YES,REACHWIDE,2000,1,NO,YES,NO,2000,1,WY,WYOMING,LINCOLN,REGION__8,WEST,T,2104,85.2193,18,WYOMING BASIN,XER,WMTNS,10.1.4,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1404,140401,14040108,MUDDY,WWYP99-0516,2000,1,85.21,17.25,0.22,0,0,0.84,0,2104,0.366
WWYP99-0556,2003,1,LA BARGE CREEK,WESTPROB, ,-110.47545,42.31015,-110.476111,42.310278,GPS,4,4th,7/9/03,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,WY,782.8701835,YES,YES,YES,2003,1,YES,REACHWIDE,2003,1,YES,YES,YES,2003,1,WY,WYOMING,SUBLETTE,REGION__8,WEST,T,2276,252.29,17,MIDDLE ROCKIES,WMT,WMTNS,6.2.10,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1404,140401,14040101,UPPER GREEN,WWYP99-0556,2003,1,252.29,44.97,0.42,0,0,0.57,0.02,2276,0.779
WWYP99-0589,2001,1,UNNAMED (BIG GULCH),WESTPROB, ,-107.33269,41.08387,-107.332778,41.083889,GPS,1,0-1st,8/24/01,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,WY,541.9870501,YES,YES,YES,2001,1,YES,REACHWIDE,2001,1,YES,YES,YES,2001,1,WY,WYOMING,CARBON,REGION__8,WEST,S,2129,58.7965,18,WYOMING BASIN,XER,WMTNS,10.1.4,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1405,140500,14050003,LITTLE SNAKE,WWYP99-0589,2001,1,58.79,50.41,0.44,0,4.99,0.87,0.03,2129,0.861
WWYP99-0655,2002,1,HAMS FORK GREEN RIVER,WESTPROB, ,-110.72985,42.17173,-110.730556,42.171667,GPS,3,3rd,7/18/02,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,WY,469.7221102,YES,YES,YES,2002,1,YES,REACHWIDE,2002,1,YES,YES,YES,2002,1,WY,WYOMING,LINCOLN,REGION__8,WEST,S,2326,176.2428,17,MIDDLE ROCKIES,WMT,WMTNS,6.2.10,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1404,140401,14040107,BLACKS FORK,WWYP99-0655,2002,1,176.24,56.71,2.4,0,0,0.47,0,2326,0.903
WWYP99-0657,2002,1,MIDDLE FORK BOULDER CREEK,WESTPROB, ,-109.44692,42.87191,-109.447778,42.871944,GPS,3,3rd,8/7/02,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,WY,469.7221102,YES,YES,YES,2002,1,YES,REACHWIDE,2002,1,YES,YES,YES,2002,1,WY,WYOMING,SUBLETTE,REGION__8,WEST,R,2928,35.8801,17,MIDDLE ROCKIES,WMT,WMTNS,6.2.10,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1404,140401,14040102,NEW FORK,WWYP99-0657,2002,1,35.88,13.38,0.72,0,0,0.04,0.02,2928,0.809
WWYP99-0713,2003,1,EAST FORK SMITHS FORK,WESTPROB, ,-110.38719,41.0178,-110.386944,41.017778,GPS,3,3rd,8/12/03,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,WY,469.7221102,YES,YES,YES,2003,1,YES,REACHWIDE,2003,1,YES,YES,YES,2003,1,WY,WYOMING,UINTA,REGION__8,WEST,S,2703,135.3642,19,WASATCH AND UINTA MOUNTAINS,WMT,WMTNS,6.2.13,6.2,WESTERN CORDILLERA,6,WESTERN CORDILLERA,14,1404,140401,14040107,BLACKS FORK,WWYP99-0713,2003,1,135.36,67.48,0.1,0,0.07,0.3,0,2703,0.832
WWYP99-0716,2003,1,HORSE CREEK,WESTPROB, ,-110.19985,42.93313,-110.2,42.931111,GPS,2,2nd,7/10/03,Y,Y,WADEABLE,SAMPLEABLE,WADEABLE,TS,T,WY,391.4350918,YES,YES,YES,2003,1,YES,REACHWIDE,2003,1,YES,YES,YES,2003,1,WY,WYOMING,SUBLETTE,REGION__8,WEST,S,2250,299.7877,18,WYOMING BASIN,XER,WMTNS,10.1.4,10.1,WESTERN INTERIOR BASINS AND RANGES,10,NORTH AMERICAN DESERTS,14,1404,140401,14040101,UPPER GREEN,WWYP99-0716,2003,1,299.78,37.13,7.58,0,6.1,0.5,0.12,2250,0.611
